Date,Genesis,Matthew,Psalms,Proverbs
12,Ez 24:1-26:21,Hb 11:1-16,Sl 110:1-7,Pv 27:14
13,Ez 27:1-28:26,Hb 11:17-31,Sl 111:1-10,Pv 27:15-16
14,Ez 29:1-30:26,Hb 11:32-12:13,Sl 112:1-10,Pv 27:17
15,Ez 31:1-32:32,Hb 12:14-29,Sl 113:1-114:8,Pv 27:18-20
16,Ez 33:1-34:31,Hb 13:1-25,Sl 115:1-18,Pv 27:21-22
17,Ez 35:1-36:38,Tg 1:1-18,Sl 116:1-19,Pv 27:23-27
18,Ez 37:1-38:23,Tg 1:19-2:17,Sl 117:1-2,Pv 28:1
19,Ez 39:1-40:27,Tg 2:18-3:18,Sl 118:1-18,Pv 28:2
20,Ez 40:28-41:26,Tg 4:1-17,Sl 118:19-29,Pv 28:3-5
21,Ez 42:1-43:27,Tg 5:1-20,Sl 119:1-16,Pv 28:6-7
22,Ez 44:1-45:12,1Pe 1:1-12,Sl 119:17-32,Pv 28:8-10
23,Ez 45:13-46:24,1Pe 1:13-2:10,Sl 119:33-48,Pv 28:11
24,Ez 47:1-48:35,1Pe 2:11-3:7,Sl 119:49-64,Pv 28:12-13
25,Dn 1:1-2:23,1Pe 3:8-4:6,Sl 119:65-80,Pv 28:14
26,Dn 2:24-3:30,1Pe 4:7-5:14,Sl 119:81-96,Pv 28:15-16
27,Dn 4:1-37,2Pe 1:1-21,Sl 119:97-112,Pv 28:17-18
28,Dn 5:1-31,2Pe 2:1-22,Sl 119:113-128,Pv 28:19-20
29,Dn 6:1-28,2Pe 3:1-18,Sl 119:129-152,Pv 28:21-22
30,Dn 7:1-28,1Jo 1:1-10,Sl 119:153-176,Pv 28:23-24
1,Dn 8:1-27,1Jo 2:1-17,Sl 120:1-7,Pv 28:25-26
2,Dn 9:1-11:1,1Jo 2:18-3:6,Sl 121:1-8,Pv 28:27-28
3,Dn 11:2-35,1Jo 3:7-24,Sl 122:1-9,Pv 29:1
4,Dn 11:36-12:13,1Jo 4:1-21,Sl 123:1-4,Pv 29:2-4
5,Os 1:1-3:5,1Jo 5:1-21,Sl 124:1-8,Pv 29:5-8
6,Os 4:1-5:15,2Jo 1:1-13,Sl 125:1-5,Pv 29:9-11
7,Os 6:1-9:17,3Jo 1:1-14,Sl 126:1-6,Pv 29:12-14
8,Os 10:1-14:9,Jd 1:1-25,Sl 127:1-5,Pv 29:15-17
9,Jl 1:1-3:21,Ap 1:1-20,Sl 128:1-6,Pv 29:18
10,Am 1:1-3:15,Ap 2:1-17,Sl 129:1-8,Pv 29:19-20
11,Am 4:1-6:14,Ap 2:18-3:6,Sl 130:1-8,Pv 29:21-22
12,Am 7:1-9:15,Ap 3:7-22,Sl 131:1-3,Pv 29:23
13,Ob 1:1-21,Ap 4:1-11,Sl 132:1-18,Pv 29:24-25
14,Jn 1:1-4:11,Ap 5:1-14,Sl 133:1-3,Pv 29:26-27
15,Mq 1:1-4:13,Ap 6:1-17,Sl 134:1-3,Pv 30:1-4
16,Mq 5:1-7:20,Ap 7:1-17,Sl 135:1-21,Pv 30:5-6
17,Na 1:1-3:19,Ap 8:1-13,Sl 136:1-26,Pv 30:7-9
18,Hc 1:1-3:19,Ap 9:1-21,Sl 137:1-9,Pv 30:10
19,Sf 1:1-3:20,Ap 10:1-11,Sl 138:1-8,Pv 30:11-14
20,Ag 1:1-2:23,Ap 11:1-19,Sl 139:1-24,Pv 30:15-16
21,Zc 1:1-21,Ap 12:1-17,Sl 140:1-13,Pv 30:17
22,Zc 2:1-3:10,Ap 13:1-18,Sl 141:1-10,Pv 30:18-20
23,Zc 4:1-5:11,Ap 14:1-20,Sl 142:1-7,Pv 30:21-23
24,Zc 6:1-7:14,Ap 15:1-8,Sl 143:1-12,Pv 30:24-28
25,Zc 8:1-23,Ap 16:1-21,Sl 144:1-15,Pv 30:29-31
26,Zc 9:1-17,Ap 17:1-18,Sl 145:1-21,Pv 30:32
27,Zc 10:1-11:17,Ap 18:1-24,Sl 146:1-10,Pv 30:33
28,Zc 12:1-13:9,Ap 19:1-21,Sl 147:1-20,Pv 31:1-7
29,Zc 14:1-21,Ap 20:1-15,Sl 148:1-14,Pv 31:8-9
30,Mq 1:1-2:17,Ap 21:1-27,Sl 149:1-9,Pv 31:10-24
31,Mq 3:1-4:6,Ap 22:1-21,Sl 150:1-6,Pv 31:25-31
